data,autor,texto_original,respostas_coletadas,likes,reposts,uri,termo_busca,categoria_autor
2025-12-31 22:14:38.143000+00:00,usuario_anonimo_3422,"Se minha tia estiver certa e eu estiver com dengue,mano só dia 2
Não vou naquele pronto atendimento nem que me paguem ,nem hoje nem amanhã",,1,0,at://did:plc:homau5nssbq5ywqfopqqbefz/app.bsky.feed.post/3mbcvap2vhs2n,dengue,Comum
2025-12-31 21:50:30.267000+00:00,usuario_anonimo_300,"eu lembro quando começou 2024 vi um tweet que era ""que 2024 transmita a paz de 2014"" com algum video nostalgico, o primeiro acontecimento do ano foi uma nova epidemia de dengue, igual 2014",,0,0,at://did:plc:d2rotqbwa2637wsl74gcasse/app.bsky.feed.post/3mbctvkb36k25,dengue,Comum
2025-12-31 18:00:12.689000+00:00,usuario_anonimo_307,- ainda tive dengue no meu aniversário,,0,0,at://did:plc:irlxkzrrkumblgunnhlmvkmw/app.bsky.feed.post/3mbcgzqs2o223,dengue,Comum
2025-12-31 15:15:26+00:00,usuario_anonimo_3511,"Santos estabelece novo comitê para agir de forma integrada contra a dengue

https://www.europesays.com/pt/209305/

array(1) { [“tipo”]=> int(27) } O ano de 2026 promete novos avanços no combate à dengue em Santos…",,0,0,at://did:plc:lxpmp26fxtdcr4fxvhycenoh/app.bsky.feed.post/3mbc5t5vzls2v,dengue,Comum
2025-12-31 12:59:37.371000+00:00,usuario_anonimo_4440,"o ano que elas debutaram, em fevereiro eu estava com dengue aaaaaaa, momentos open.spotify.com/intl-pt/trac...",,1,0,at://did:plc:amadhku4fsatp3cuwrtbguj4/app.bsky.feed.post/3mbbwaaxtgk2i,dengue,Comum
2025-12-31 06:45:10+00:00,usuario_anonimo_3511,"Com 792 casos confirmados de dengue em 2025, Secretaria de Saúde reforça alerta em Adamantina

https://www.europesays.com/pt/208905/

Adamantina registrou, ao longo de 2025, um total de 2.039 notificações de casos suspeitos de dengue, das quais…",,0,0,at://did:plc:lxpmp26fxtdcr4fxvhycenoh/app.bsky.feed.post/3mbbbcqpnwa2g,dengue,Comum
2025-12-31 05:00:24+00:00,usuario_anonimo_3511,"Casos de dengue caem quase 90%, mas cuidados contra o mosquito devem ser mantidos – CBN Londrina

https://www.europesays.com/pt/208861/

O ano de 2025 registrou uma queda de quase 90% nos casos de dengue no Paraná, com o…",,0,0,at://did:plc:lxpmp26fxtdcr4fxvhycenoh/app.bsky.feed.post/3mbb3hfqam62j,dengue,Comum
2025-12-31 04:19:53.915000+00:00,usuario_anonimo_712,"▶️ Mato Grosso do Sul entra em alerta para possível epidemia de dengue em 2026
“Nossa maior preocupação é o sorotipo 3”, alerta infectologista

#UltimasNoticias #CapitalNews

www.capitalnews.com.br/cotidiano/sa...",,0,0,at://did:plc:kmy3mkgugqzte2csn7n7n5sk/app.bsky.feed.post/3mbaz6w4bok2n,dengue,Comum
2025-12-30 16:15:04+00:00,usuario_anonimo_3511,"Goiânia diminui quase 50% nos registros de dengue em 2025

https://www.europesays.com/pt/208134/

A Secretaria Municipal de Saúde (SMS) realizou mais de 2,3 milhões de visitas domiciliares em Goiânia no combate…",,0,0,at://did:plc:lxpmp26fxtdcr4fxvhycenoh/app.bsky.feed.post/3mb7qovgvrx2h,dengue,Comum
2025-12-30 12:47:27.790000+00:00,usuario_anonimo_68,"Estou c o corpo tão ruim. Se eu tiver pego dengue, os deuses e eu vamos ter uma conversa muito séria.",[ju-liana.bsky.social]: Melhoras,0,0,at://did:plc:ylz3ks3vqajiayitga32ekiw/app.bsky.feed.post/3mb7f3lq6uk2f,dengue,Comum
2025-12-30 10:09:02.788000+00:00,usuario_anonimo_994,"É o quadro que a DIREITA gostaria de ver no Brasil: ""PRIVATIZA O SUS!"", """"LULA É GASTADOR!"" E o governo LULA inaugurando FÁBRICA DE INSULINA, lançando VACINA CONTRA DENGUE, BRONQUIOLITE, TRATANDO DOS DENTES DO POVO, AMPLIANDO O MAIS ESPECIALISTAS E A FARMÁCIA POPULAR:  FORTALECENDO O SUS! 🚩🚩🚩❤️🥰😍👍",,2,0,at://did:plc:yygjucnozdx55wtjlybnnhaf/app.bsky.feed.post/3mb74ad2pac2y,dengue,Comum
2025-12-30 09:15:29+00:00,usuario_anonimo_3511,"Boletim da Saúde indica 16 bairros com alto risco de transmissão de dengue em Campinas

https://www.europesays.com/pt/207566/

Novo boletim da Secretaria de Saúde de Campinas, publicado nesta segunda-feira, 29, indica 16 bairros com alto risco…",,0,0,at://did:plc:lxpmp26fxtdcr4fxvhycenoh/app.bsky.feed.post/3mb6zamla6r2r,dengue,Comum
2025-12-30 02:00:22+00:00,usuario_anonimo_3511,"carro fumacê passará por Rio Quartel, Baixo Quartel, Olaria, Araçá, Conceição e Colina – Prefeitura Municipal de Linhares

https://www.europesays.com/pt/207284/

O mosquito transmissor da dengue é o Aedes aegypti, que também transmite zika e chikungunya. A secretaria municipal…",,0,0,at://did:plc:lxpmp26fxtdcr4fxvhycenoh/app.bsky.feed.post/3mb6awkorlj2v,dengue,Comum
2025-12-29 22:41:28.444000+00:00,usuario_anonimo_2163,"Pode ser o monte de pernilongos que não transmitem doenças para dificultar a transmissão dos que transmitem dengue, zica etc… louvável, mas… coça pra caramba! 😫😫😫",[artistasiqueira.bsky.social]: Provavelmente são as mosquitas de laboratório. Mas acho essa justificativa de dificultar a transmissão muito ruim. Parece mais que somos um laboratório de outros países | [cibelebastos.bsky.social]: Pois é. Estou cheia de caroços... Coça muito mesmo!,1,0,at://did:plc:6yqvngz2npwkexcbea4qpchk/app.bsky.feed.post/3mb5vsttr522p,dengue,Comum
