DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s)
Período:2025
"Semana epidem. 1º Sintomas(s)";"Casos_Prováveis"
"Semana 01";29359
"Semana 02";37338
"Semana 03";43243
"Semana 04";51642
"Semana 05";56578
"Semana 06";57649
"Semana 07";65147
"Semana 08";72221
"Semana 09";71576
"Semana 10";79549
"Semana 11";87292
"Semana 12";90863
"Semana 13";87355
"Semana 14";87675
"Semana 15";80018
"Semana 16";68250
"Semana 17";74916
"Semana 18";64006
"Semana 19";61548
"Semana 20";54011
"Semana 21";46548
"Semana 22";33240
"Semana 23";25573
"Semana 24";18563
"Semana 25";13040
"Semana 26";11215
"Semana 27";9692
"Semana 28";8237
"Semana 29";7360
"Semana 30";7036
"Semana 31";6450
"Semana 32";6274
"Semana 33";6301
"Semana 34";6597
"Semana 35";6267
"Semana 36";6541
"Semana 37";6846
"Semana 38";7274
"Semana 39";6981
"Semana 40";7551
"Semana 41";7360
"Semana 42";7408
"Semana 43";7171
"Semana 44";7494
"Semana 45";7728
"Semana 46";8468
"Semana 47";8263
"Semana 48";9251
"Semana 49";10793
"Semana 50";10472
"Semana 51";8808
"Semana 52";2237
"Semana 53";9
"Total";1663284
 Fonte: Ministério da Saúde/SVSA - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Para os casos prováveis foram incluídas todas notificações, exceto casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB
 (Coordenação Geral de Vigilância de Arboviroses - CGARB) em sua série histórica, que para tal, realiza análise ano a ano, com a base congelada para cada ano analisado.
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme
 e dengue grave) é necessário considerar também o critério de confirmação (laboratorial e clínico-epidemiológico).
 A partir de 2020 o estado do Espírito Santo passou a utilizar o sistema e-SUS Vigilância em Saúde. Portanto, para os casos de Arboviroses urbanas do Espírito Santo foram
 considerados apenas os dados disponibilizados pelo Sinan online (dengue e chikungunya) e Sinan Net (zika).
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos e semana epidemiológica, em cada período pode apresentar notificações com data de notificação
 do ano anterior (semana epidemiológica 52 ou 53) e posterior (semana epidemiológica 01).
 Para cálculo da incidência recomenda-se utilizar locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 23/07/2021, corrigidos em 18/11/2025 em relação à variável “Semana da Notificação”.
 Dados de 2021 atualizados em 12/07/2022.
 Dados de 2022 atualizados em 18/07/2023.
 Dados de 2023 atualizados em 04/06/2024 às 07 horas, incluídos os dados do ES em 29/12/2025.
 Dados de 2024 atualizados em 28/07/2025 às 18:30 horas, incluídos os dados do ES em 29/12/2025.
 Dados de 2025 atualizados em 29/12/2025 às 03:00 horas, sujeitos à revisão e incluídos os dados do ES em 29/12/2025.
 * Dados disponibilizados no TABNET em dezembro de 2025.
 
